skill,accuracy,attempts,hints,response_time,difficulty_score
Absolute Value,0.7037037037037037,1.348148148148148,0.1925925925925926,24110.355555555554,0.2993827160493827
Addition Mixed Fractions,0.2222222222222222,1.0,0.0,134799.55555555556,0.38425925925925924
Addition Proper Fractions,0.5,1.0,0.0,54925.75,0.2916666666666667
Addition Whole Numbers,0.8591549295774648,1.2535211267605635,0.09859154929577464,38894.633802816905,0.22007042253521128
Addition and Subtraction Fractions,0.6943143812709031,1.4408026755852843,0.5317725752508361,78599.92040133779,0.37062430323299883
Addition and Subtraction Integers,0.7564599483204134,1.4043927648578811,0.20219638242894056,28283.168604651164,0.2904285099052541
Addition and Subtraction Positive Decimals,0.7954545454545454,1.2632575757575757,0.14015151515151514,55353.63446969697,0.249447601010101
Algebraic Simplification,0.25,1.5,0.0,81669.25,0.4375
Algebraic Solving,0.65625,1.40625,0.25,68039.9375,0.33203125
"Angles - Obtuse, Acute, and Right",0.8495575221238938,1.176991150442478,0.017699115044247787,23583.433628318584,0.2002212389380531
Angles on Parallel Lines Cut by a Transversal,0.8032786885245902,1.0655737704918034,0.14754098360655737,28373.72131147541,0.22336065573770492
Area Circle,0.6292682926829268,1.146341463414634,0.45365853658536587,62990.46829268293,0.34247967479674796
Area Irregular Figure,0.6102941176470589,1.2058823529411764,0.4338235294117647,61495.507352941175,0.35294117647058815
Area Parallelogram,0.7830188679245284,1.1320754716981132,0.10377358490566038,43880.188679245286,0.23113207547169812
Area Rectangle,0.7898550724637681,1.2391304347826086,0.16666666666666666,35094.1231884058,0.25271739130434784
Area Trapezoid,0.5214723926380368,1.4233128834355828,0.3803680981595092,66298.71165644172,0.40081799591002043
Area Triangle,0.7124463519313304,1.1974248927038627,0.15450643776824036,45831.9356223176,0.27128040057224606
Associative Property,0.0,1.0,0.0,7558.0,0.4583333333333333
Bar Graph,1.0,1.0,0.0,11150.333333333334,0.125
Box and Whisker,0.7341772151898734,1.240506329113924,0.26582278481012656,42096.50632911392,0.2879746835443038
Calculations with Similar Figures,0.6233766233766234,1.5909090909090908,0.7272727272727273,60615.67532467532,0.44561688311688313
Choose an Equation from Given Information,0.75,1.0,0.0,106722.75,0.20833333333333334
Circle Concept,0.3333333333333333,1.0,0.0,28257.0,0.34722222222222227
Circle Graph,1.0,1.0,0.0,26254.272727272728,0.125
Circumference,0.8,1.0,0.0,86027.4,0.19166666666666665
Circumference ,0.6872037914691943,1.2511848341232228,0.33649289099526064,55060.473933649286,0.3167456556082148
Combining Like Terms,0.5276381909547738,1.814070351758794,1.1959798994974875,81772.98492462312,0.5835427135678392
Common Factor,0.0,1.0,0.0,21752.0,0.4583333333333333
Common Multiple,0.3333333333333333,1.0,0.6666666666666666,22634.333333333332,0.4583333333333333
Commutative Property,0.6666666666666666,1.0,0.0,21452.333333333332,0.23611111111111113
Comparing and Identifying Slope/Rate of Change,0.7777777777777778,1.3333333333333333,0.0,65456.22222222222,0.24074074074074073
Complementary and Supplementary Angles,0.8307692307692308,1.146153846153846,0.15384615384615385,36835.45769230769,0.22532051282051277
Composition of Function Adding,0.65,1.4,0.6,71739.95,0.39166666666666666
Computation with Real Numbers,0.6666666666666666,1.4,0.36666666666666664,44565.3,0.34722222222222227
Concept Volume,0.6666666666666666,1.0,0.0,114155.66666666667,0.23611111111111113
Congruence,0.8936170212765957,1.0851063829787233,0.19148936170212766,25590.531914893618,0.20301418439716312
Conversion of Fraction Decimals Percents,0.7401129943502824,1.3634651600753296,0.3700564971751412,41304.483992467045,0.3187382297551789
Counting Methods,0.7625,1.3875,0.275,49958.0625,0.2984375000000001
D.4.8-understanding-concept-of-probabilities,1.0,1.0,0.0,30280.6,0.125
Definition Pi,0.5,1.0,0.0,25705.714285714286,0.2916666666666667
Distance Formula,0.6363636363636364,1.0,0.0,15812.0,0.24621212121212122
Distributive Property,0.6333798882681564,1.4301675977653632,0.45251396648044695,55537.935754189944,0.37639664804469275
Divisibility Rules,0.61875,1.5833333333333333,0.45,53232.10833333333,0.39999999999999997
Division Fractions,0.644122383252818,1.4830917874396135,0.714975845410628,71400.82125603865,0.4231749865807837
Division Mixed Fractions,0.14285714285714285,1.0,0.7142857142857143,240749.14285714287,0.5297619047619048
Division Proper Fractions,0.2,1.0,0.0,130521.2,0.39166666666666666
Division Whole Numbers,0.6744186046511628,1.2790697674418605,0.06976744186046512,38512.395348837206,0.2800387596899225
Effect of Changing Dimensions of a Shape Prportionally,0.625,1.0,0.375,35381.25,0.3125
Elapsed Time,1.0,1.0,0.0,87614.0,0.125
English and Metric Terminology,0.6363636363636364,1.1818181818181819,0.36363636363636365,67537.54545454546,0.3295454545454546
Equal As Balance Concept,0.0,1.0,0.0,195530.0,0.4583333333333333
Equation Solving More Than Two Steps,0.5758620689655173,1.353448275862069,0.7931034482758621,129092.59827586207,0.4427442528735632
Equation Solving Two or Fewer Steps,0.7169431875314228,1.3368526897938662,0.30165912518853694,42384.99648064354,0.3117353779118485
Equivalent Fractions,0.7091503267973857,1.2843137254901962,0.369281045751634,51464.09150326798,0.31903594771241833
Estimation,0.42857142857142855,1.8928571428571428,0.32142857142857145,27414.071428571428,0.4806547619047619
"Expanded, Standard and Word Notation",0.7096774193548387,1.2580645161290323,0.12903225806451613,45531.967741935485,0.2755376344086022
Exponents,0.75,1.278688524590164,0.24180327868852458,28975.825819672133,0.28346994535519127
Factoring Polynomials Standard,0.875,1.0833333333333333,0.125,96337.41666666667,0.19791666666666666
Factoring Trinomials,0.75,1.5,0.0,18474.75,0.2708333333333333
Finding Percents,0.6093189964157706,1.4014336917562724,0.5268817204301075,61211.45878136201,0.3932198327359618
Finding Ratios,1.0,1.0,0.0,8610.0,0.125
Finding Slope From Equation,0.6666666666666666,1.3823529411764706,0.6666666666666666,28633.514705882353,0.39501633986928103
Finding Slope From Situation,0.5526315789473685,1.3026315789473684,1.0789473684210527,106989.77631578948,0.4917763157894737
Finding Slope from Graph,0.6,1.6,0.0,18330.8,0.3333333333333333
Finding Slope from Ordered Pairs,0.6188118811881188,1.301980198019802,0.7673267326732673,65746.92079207921,0.4176980198019802
Finding y-intercept from Linear Equation,0.6621004566210046,1.4200913242009132,0.5844748858447488,24363.616438356163,0.3875570776255708
Fraction Of,0.5714285714285714,1.1428571428571428,0.14285714285714285,22950.14285714286,0.30952380952380953
Geometric Definitions,0.6666666666666666,2.0,0.0,38948.0,0.36111111111111116
Graph Shape,0.7,1.3571428571428572,0.12857142857142856,51879.21428571428,0.2910714285714286
Graphing Inequalities on a number line,0.75,1.0,0.0,88381.0,0.20833333333333334
Graphing Linear Equations,1.0,1.0,0.0,143198.22222222222,0.125
Greatest Common Factor,0.6956521739130435,1.355072463768116,0.34782608695652173,67545.15942028986,0.328804347826087
Histogram as Table or Graph,0.6190476190476191,1.4603174603174602,0.6904761904761905,59007.920634920636,0.4246031746031746
Interior Angles Figures with More than 3 Sides,0.6243654822335025,1.4517766497461928,0.3401015228426396,62688.67005076142,0.3633671742808799
Interior Angles Triangle,0.75,1.3014705882352942,0.125,59060.19117647059,0.2668504901960784
Interpreting Coordinate Graphs ,0.6470588235294118,1.3529411764705883,0.11764705882352941,41816.14705882353,0.30637254901960786
Inverse Relations,0.7,1.4,0.2,50617.9,0.30833333333333335
Least Common Multiple,0.6871165644171779,1.4079754601226995,0.50920245398773,36320.91411042945,0.3651584867075665
Line Plot,0.5333333333333333,1.6666666666666667,0.13333333333333333,36993.46666666667,0.3861111111111111
Line Symmetry,0.0,1.0,0.0,21957.333333333332,0.4583333333333333
Line of Best-Fit,0.0,1.4285714285714286,0.0,43541.57142857143,0.511904761904762
Making a Table from an Equation,0.7236842105263158,1.3289473684210527,0.3684210526315789,59456.65789473684,0.3196271929824562
Mean,0.5864978902953587,1.3417721518987342,0.31223628691983124,94173.28270042194,0.3575949367088607
Mean-Median-Mode-Range Differentiation,0.5,1.0,0.0,208283.5,0.2916666666666667
Median,0.6244541484716157,1.3668122270742358,0.37554585152838427,103755.12663755458,0.3586244541484716
Midpoint,0.4,1.0,0.0,25029.2,0.325
Mode,0.8,1.2,0.4,54669.4,0.28333333333333327
Multiplication Division by Powers of 10,0.6,1.0,0.0,40845.4,0.25833333333333336
Multiplication Fractions,0.6761904761904762,1.4285714285714286,0.5444444444444444,60790.4126984127,0.3772486772486772
Multiplication Mixed Fractions,0.3333333333333333,1.0,0.0,101175.33333333333,0.34722222222222227
Multiplication Positive Decimals,0.25,1.0,0.0,77014.25,0.375
Multiplication Proper Fractions,0.75,1.0,0.0,57590.125,0.20833333333333334
Multiplication Whole Numbers,0.75,1.265625,0.171875,69287.234375,0.2701822916666667
Multiplication and Division Integers,0.846517119244392,1.0991735537190082,0.03659976387249114,20555.010625737897,0.19465761511216054
Multiplication and Division Positive Decimals,0.7258741258741259,1.3622377622377622,0.47132867132867134,70758.53286713286,0.3402097902097902
Multiplying non Monomial Polynomials,0.775,1.55,0.1875,93029.1875,0.3
Nets of 3D Figures,0.9821428571428571,1.0,0.0,13256.625,0.13095238095238096
Nets of 3D Objects,1.0,1.0,0.0,47966.8,0.125
Number Line,0.5333333333333333,1.5733333333333333,0.2,43716.573333333334,0.3855555555555556
Odd and Even Number,1.0,1.0,0.0,108642.0,0.125
"Order of Operations +,-,/,* () positive reals",0.6866485013623979,1.2942779291553133,0.33787465940054495,44690.130790190735,0.32254768392370575
Order of Operations All,0.658753709198813,1.3961424332344214,0.46439169139465875,570220.4154302671,0.3656651829871415
Ordering Fractions,0.7931034482758621,1.2543103448275863,0.03017241379310345,35437.887931034486,0.2307830459770115
Ordering Integers,0.8617511520737328,1.1336405529953917,0.03225806451612903,20688.617511520737,0.19316436251920122
Ordering Positive Decimals,0.8260869565217391,1.2484472049689441,0.062111801242236024,28875.89751552795,0.2243788819875776
Ordering Real Numbers,0.5333333333333333,1.6,0.03333333333333333,45495.86666666667,0.36111111111111116
Ordering Whole Numbers,1.0,1.0,0.0,9106.666666666666,0.125
Parallel and Perpendicular Lines,0.6875,1.4166666666666667,0.3125,55839.208333333336,0.3333333333333333
"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable",0.8666666666666667,1.1666666666666667,0.13333333333333333,29639.9,0.2125
Pattern Finding,0.5,1.1666666666666667,0.0,44131.166666666664,0.3125
Pattern Finding ,0.582089552238806,1.472636815920398,0.7114427860696517,71885.2039800995,0.4419568822553897
Percent Discount,0.625,1.375,0.0,138280.125,0.296875
Percent Increase or Decrease,0.5,1.9878048780487805,0.8170731707317073,78381.36585365854,0.5513211382113822
Percent Of,0.6947791164658634,1.3855421686746987,0.5100401606425703,60889.05220883534,0.3599397590361446
Percents,0.3333333333333333,1.6666666666666667,0.75,111273.5,0.5555555555555557
Perimeter of a Polygon,0.7602339181286549,1.3333333333333333,0.22807017543859648,46414.85964912281,0.2846003898635478
Picking Equation and Inequality from Choices,0.5,1.394736842105263,0.5,46229.81578947369,0.4243421052631579
Picking Expressions From Choices,0.6153846153846154,1.0,0.0,34885.346153846156,0.2532051282051282
Point Plotting,0.8490566037735849,1.2358490566037736,0.04716981132075472,21653.556603773584,0.2126572327044025
Polynomial Factors,0.695852534562212,1.3778801843317972,0.9354838709677419,84940.7004608295,0.429531490015361
Prime Factor,0.7419354838709677,1.3548387096774193,0.08064516129032258,46543.74193548387,0.26881720430107525
Prime Number,0.7465753424657534,1.4109589041095891,0.3287671232876712,40507.30136986302,0.3156392694063927
Probability of Two Distinct Events,0.5165562913907285,1.5364238410596027,0.8609271523178808,41375.18543046358,0.49668874172185434
Probability of a Single Event,0.7315789473684211,1.3210526315789475,0.37894736842105264,47361.84210526316,0.31776315789473686
Properties and Clasification of Pyramid,0.0,2.0,0.0,4665.0,0.5833333333333334
Properties and Classification Circle,0.7307692307692307,1.3076923076923077,0.19230769230769232,20306.46153846154,0.2852564102564103
Properties and Classification Polygons with 5 or more sides,0.8148148148148148,1.2037037037037037,0.05555555555555555,34969.87037037037,0.22145061728395066
Properties and Classification Prism,0.6666666666666666,1.2962962962962963,0.5925925925925926,10569.518518518518,0.37191358024691357
Properties and Classification Quadrilaterals,0.8818181818181818,1.1090909090909091,0.03636363636363636,19667.109090909093,0.1840909090909091
Properties and Classification Rectangular Prisms,0.7894736842105263,1.3157894736842106,0.3157894736842105,15943.421052631578,0.28728070175438597
Properties and Classification Triangles,0.8043478260869565,1.326086956521739,0.0,42402.69565217391,0.2309782608695652
Proportion,0.7313167259786477,1.3772241992882561,0.25622775800711745,50886.79715302491,0.3044187425860024
Pythagorean Theorem,0.6485507246376812,1.3876811594202898,0.39492753623188404,72527.9384057971,0.35643115942028986
Quadratic Equation Solving,0.3333333333333333,0.6666666666666666,0.0,122566.0,0.3055555555555556
Quadratic Formula to Solve Quadratic Equation,0.5,1.75,1.75,74121.33333333333,0.6770833333333334
Range,0.7931034482758621,1.2275862068965517,0.2413793103448276,40378.86896551724,0.26264367816091955
Rate,0.5185185185185185,1.3333333333333333,0.0,86584.0,0.3271604938271605
Recognize Linear Pattern,0.8676470588235294,1.1470588235294117,0.014705882352941176,21127.66176470588,0.18995098039215685
Recognizing Equivalent Expressions,0.0,1.25,0.25,13417.75,0.53125
Reflection,0.75,1.125,0.125,28822.75,0.24479166666666666
Rotations,1.0,1.0,0.0,41801.0,0.125
Rounding,0.7438692098092643,1.3705722070844686,0.3024523160762943,22272.08719346049,0.3071071752951862
Sampling Techniques,0.5,2.0,0.16666666666666666,48372.166666666664,0.4444444444444444
Scale Factor,0.7184466019417476,1.3495145631067962,0.5339805825242718,71276.54368932039,0.351537216828479
Scatter Plot,0.8588235294117647,1.3058823529411765,0.09411764705882353,35703.83529411765,0.22598039215686275
Scientific Notation,0.6747572815533981,1.6504854368932038,0.3737864077669903,31295.558252427185,0.3770226537216828
Simplifying Expressions positive exponents,0.6197718631178707,1.5551330798479088,0.8136882129277566,72743.21292775666,0.4567490494296578
Solving Inequalities,0.6052631578947368,1.3157894736842106,0.10526315789473684,51988.73684210526,0.3135964912280702
Solving System of Equation,0.0,2.6666666666666665,0.6666666666666666,77581.66666666667,0.7777777777777778
Solving Systems of Linear Equations,0.5031055900621118,1.5279503105590062,0.968944099378882,127113.57142857143,0.5181159420289856
Solving Systems of Linear Equations by Graphing,0.6298701298701299,1.474025974025974,0.7012987012987013,75213.74675324676,0.42451298701298706
Solving for a variable,0.6872586872586872,1.4787644787644787,0.6525096525096525,74331.19691119691,0.3978442728442729
Square Root,0.8029739776951673,1.1672862453531598,0.06691449814126393,26451.814126394052,0.22273853779429986
Square Roots,1.0,1.0,0.0,60653.5,0.125
Stem and Leaf Plot,0.7,1.7,0.0,30821.1,0.31250000000000006
Substitution,0.8119266055045872,1.261467889908257,0.2018348623853211,45377.31192660551,0.2540137614678899
Subtraction Mixed Fractions,0.2222222222222222,1.0,0.5555555555555556,54837.0,0.4768518518518518
Subtraction Proper Fractions,0.5,1.0,0.0,50131.0,0.2916666666666667
Subtraction Whole Numbers,0.8888888888888888,1.0972222222222223,0.05555555555555555,48883.930555555555,0.1834490740740741
Surface Area Cylinder,0.5462962962962963,1.9351851851851851,1.0462962962962963,99455.5,0.5675154320987654
Surface Area Pyramid,0.25,2.25,0.75,75301.0,0.65625
Surface Area Rectangular Prism,0.5560538116591929,1.3946188340807175,0.9461883408071748,83533.91928251121,0.48000747384155457
Surface Area Sphere,0.5454545454545454,1.2727272727272727,0.6818181818181818,64426.09090909091,0.42424242424242425
Surface Area of 3D Objects,0.75,1.0,0.0,84776.5,0.20833333333333334
Surface Area of Prism,0.6956521739130435,1.391304347826087,0.30434782608695654,54268.782608695656,0.32608695652173914
Symbolization,0.5,1.75,0.0,139823.5,0.3854166666666667
Table,0.75,1.125,0.0,26762.75,0.22395833333333334
Transformation,0.0,2.5,2.0,35825.5,0.9791666666666666
Translations,0.8461538461538461,1.0,0.0,54693.53846153846,0.1762820512820513
Unit Conversion Standard to Metric,0.7457627118644068,0.9830508474576272,0.0,28902.694915254237,0.2076271186440678
Unit Conversion Within a System,0.7401129943502824,0.9491525423728814,0.04519774011299435,55452.47457627119,0.21280602636534843
Unit Rate,0.6877828054298643,1.1447963800904977,0.07239819004524888,68655.33031674208,0.25923831070889897
Venn Diagram,0.7391304347826086,1.2753623188405796,0.391304347826087,45072.44927536232,0.3115942028985507
Volume Cone,0.42857142857142855,1.6734693877551021,1.0408163265306123,110218.8163265306,0.5731292517006803
Volume Cylinder,0.6296296296296297,1.3703703703703705,0.9629629629629629,60711.32098765432,0.4552469135802469
Volume Prism,0.7571428571428571,1.3857142857142857,0.4142857142857143,40978.857142857145,0.32321428571428573
Volume Pyramid,0.8125,1.0625,0.125,63807.125,0.21614583333333334
Volume Rectangular Prism,0.7226277372262774,1.218978102189781,0.4744525547445255,43774.50364963504,0.3239051094890511
Volume Sphere,0.6153846153846154,1.3333333333333333,0.7692307692307693,64480.333333333336,0.4230769230769231
Volume of 3D Objects,0.0,1.3333333333333333,0.0,143925.33333333334,0.5
Write Linear Equation from Graph,0.6685714285714286,1.2114285714285715,0.4228571428571429,59040.845714285715,0.3323809523809524
Write Linear Equation from Ordered Pairs,0.5021459227467812,1.6695278969957081,1.8111587982832618,117457.09442060086,0.6765021459227468
Write Linear Equation from Situation,0.7764705882352941,1.1529411764705881,0.4470588235294118,64201.82352941176,0.29313725490196074
Write Linear Equation from Slope and y-intercept,0.7711864406779662,1.0847457627118644,0.6101694915254238,61656.5593220339,0.3135593220338983
Writine Expression from Diagrams,0.6521739130434783,1.434782608695652,0.34782608695652173,74802.21739130435,0.35326086956521746
X-Y Graph Reading,0.5454545454545454,1.3181818181818181,0.0,56034.72727272727,0.31628787878787884
